,dataset,model1,model2,latent_dim_mod1,latent_dim_mod2,mapping,lambda,num_samples,MSE_loss,MSE_loss_model1,MSE_loss_model2,class
0,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.5515740513801575,0.07957424223423004,0.07960855215787888,0
1,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,1.060889482498169,0.0511796809732914,0.05248608812689781,1
2,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,1.2260130643844604,0.08358357846736908,0.08353347331285477,2
3,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.8097100853919983,0.07949899137020111,0.0788898691534996,3
4,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,1.4070923328399658,0.07905837148427963,0.07847261428833008,4
5,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.7386511564254761,0.11611177772283554,0.11472222954034805,5
6,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.8639236092567444,0.08290307968854904,0.08183056861162186,6
7,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.5865444540977478,0.06214350089430809,0.06157384440302849,7
8,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.7983033061027527,0.11518421024084091,0.11703545600175858,8
9,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.8430989384651184,0.08578666299581528,0.08437684178352356,9
10,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.8885799646377563,0.0835024043917656,0.08325295895338058,
11,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.24287976324558258,0.07973651587963104,0.08021996915340424,0
12,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.31246206164360046,0.05123883858323097,0.052798569202423096,1
13,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.44624271988868713,0.08360176533460617,0.08361046761274338,2
14,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.2504606246948242,0.07942304760217667,0.07878980785608292,3
15,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.3805036246776581,0.07911146432161331,0.0786343514919281,4
16,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.35904833674430847,0.11612764000892639,0.11412529647350311,5
17,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.32789620757102966,0.08289383351802826,0.08297549933195114,6
18,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.35117003321647644,0.06206272542476654,0.06189017742872238,7
19,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.381022572517395,0.11557938903570175,0.11630788445472717,8
20,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.425749272108078,0.08582785725593567,0.08538682758808136,9
21,FMNIST,FMNIST_VAE_8_3.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.3477434813976288,0.08356031030416489,0.08347388356924057,
22,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.3229575753211975,0.07980496436357498,0.07953336089849472,0
23,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.35517948865890503,0.05244775861501694,0.05118926241993904,1
24,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.3431873023509979,0.08366022258996964,0.08352093398571014,2
25,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.3342244029045105,0.0787404254078865,0.07924257963895798,3
26,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.340004026889801,0.07838555425405502,0.07912356406450272,4
27,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.31738170981407166,0.11468157917261124,0.11619411408901215,5
28,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.3363306224346161,0.08197791129350662,0.08284803479909897,6
29,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.23269511759281158,0.06160982698202133,0.06217072904109955,7
30,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.5129030346870422,0.11697680503129959,0.11528094857931137,8
31,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.5222705602645874,0.08454998582601547,0.08569958060979843,9
32,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.3617134392261505,0.08328349888324738,0.08348032087087631,
33,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.3620419204235077,0.07958109676837921,0.07992790639400482,0
34,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.2692752480506897,0.052554354071617126,0.05272194743156433,1
35,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.42312854528427124,0.0835660770535469,0.08382648974657059,2
36,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.2825659215450287,0.07873890548944473,0.07910260558128357,3
37,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.35482093691825867,0.07841451466083527,0.07850655913352966,4
38,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.32414576411247253,0.11490551382303238,0.11427734047174454,5
39,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.3544451594352722,0.08177192509174347,0.08301499485969543,6
40,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.30018872022628784,0.06136922165751457,0.06191873550415039,7
41,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.3808974325656891,0.1170651987195015,0.11608092486858368,8
42,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.3923531174659729,0.08455341309309006,0.08505546301603317,9
43,FMNIST,FMNIST_VAE_8_2.pth,FMNIST_VAE_8_1.pth,8,8,Linear,0,10,0.3443862497806549,0.08325202018022537,0.0834433063864708,
44,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.23555110394954681,0.07998110353946686,0.07953772693872452,0
45,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.32617366313934326,0.0526203028857708,0.05127696692943573,1
46,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.4271123707294464,0.08362092077732086,0.08352958410978317,2
47,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.290396124124527,0.07889162003993988,0.07918994873762131,3
48,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.46821868419647217,0.07850760966539383,0.07913016527891159,4
49,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.44602370262145996,0.11433500051498413,0.11583438515663147,5
50,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.33505120873451233,0.08266983181238174,0.08288992941379547,6
51,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.611076831817627,0.06218860670924187,0.06187821552157402,7
52,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.5011917352676392,0.11614575982093811,0.11524997651576996,8
53,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.5973716378211975,0.08509694784879684,0.08578326553106308,9
54,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_3.pth,8,8,Linear,0,10,0.4238167405128479,0.0834057629108429,0.08343001455068588,
55,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.25414153933525085,0.08007680624723434,0.07956227660179138,0
56,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.15884101390838623,0.05286253243684769,0.05245527625083923,1
57,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.2878696322441101,0.0833619087934494,0.08337239176034927,2
58,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.2265838235616684,0.07893796265125275,0.07900655269622803,3
59,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.28635677695274353,0.0785733237862587,0.07833091169595718,4
60,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.28621917963027954,0.11426161229610443,0.11482494324445724,5
61,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.2563476264476776,0.08277229219675064,0.08173999190330505,6
62,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.23560968041419983,0.061982661485672,0.06153153255581856,7
63,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.43749919533729553,0.11618822067975998,0.11687926203012466,8
64,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.35079023241996765,0.08515889942646027,0.08446965366601944,9
65,FMNIST,FMNIST_VAE_8_1.pth,FMNIST_VAE_8_2.pth,8,8,Linear,0,10,0.27802586555480957,0.0834176242351532,0.08321728557348251,
